id,app_name,category,website,one_line_description,auth_methods,credential_access,self_serve_status,api_protocols,api_breadth,mcp_available,buildability,main_blocker,evidence_url,confidence,verification_status,notes
1,Salesforce,CRM/Sales,https://salesforce.com,"Customer relationship, pipeline, sales and account management platform.",OAuth2,Self-serve,Self-serve,REST + GraphQL,Broad,None found,High,OAuth app/org setup,https://salesforce.com,High,research-pass; audit recommended,Official Salesforce Connect REST docs: free Developer Edition is available for testing; OAuth is used for Connect REST API.
2,HubSpot,CRM/Sales,https://hubspot.com,"Customer relationship, pipeline, sales and account management platform.",OAuth2; API key/private app token,Self-serve,Self-serve,REST + GraphQL,Broad,Official/third-party MCP ecosystem,High,App scopes and OAuth review for public apps,https://hubspot.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
3,Pipedrive,CRM/Sales,https://developers.pipedrive.com,"Customer relationship, pipeline, sales and account management platform.",OAuth2; API token,Self-serve,Self-serve,REST,Broad,None found,High,OAuth app registration,https://developers.pipedrive.com,High,research-pass; audit recommended,Official Pipedrive docs: OAuth2 for marketplace/public app integrations.
4,Attio,CRM/Sales,https://docs.attio.com,"Customer relationship, pipeline, sales and account management platform.",OAuth2; API key,Self-serve,Self-serve,REST,Broad,None found,High,Workspace scopes,https://docs.attio.com,High,research-pass; audit recommended,Official Attio docs: OAuth2 or workspace API key; scopes control access.
5,Twenty,CRM/Sales,https://twenty.com,"Customer relationship, pipeline, sales and account management platform.",API key; OAuth2,Self-serve,Self-serve,REST,Moderate,None found,High,OAuth/app configuration,https://twenty.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
6,Podio,CRM/Sales,https://developers.podio.com,"Customer relationship, pipeline, sales and account management platform.",OAuth2,Self-serve,Self-serve,REST,Broad,None found,High,App registration,https://developers.podio.com,High,research-pass; audit recommended,Official Podio docs: OAuth2 authentication and multiple flows; app registration required.
7,Zoho CRM,CRM/Sales,https://www.zoho.com/crm/developer,"Customer relationship, pipeline, sales and account management platform.",OAuth2,Self-serve with restrictions,Self-serve with restrictions,REST,Broad,None found,Medium,Organization-specific grant/token flow,https://www.zoho.com/crm/developer,High,research-pass; audit recommended,Official Zoho CRM docs: authorization-code OAuth flow and organization-specific grants.
8,Close,CRM/Sales,https://developer.close.com,"Customer relationship, pipeline, sales and account management platform.",API key; OAuth2,Self-serve,Self-serve,REST,Broad,Official,High,Credential/scopes,https://developer.close.com,High,research-pass; audit recommended,Official Close docs: API keys or OAuth2; official remote MCP server is documented.
9,Copper,CRM/Sales,https://developer.copper.com,"Customer relationship, pipeline, sales and account management platform.",API key; OAuth2,Self-serve,Self-serve,REST,Moderate,None found,High,HMAC signing for API-key requests,https://developer.copper.com,High,research-pass; audit recommended,Official Copper docs: API key and OAuth2; API-key requests use signed headers.
10,DealCloud,CRM/Sales,https://api.docs.dealcloud.com,"Customer relationship, pipeline, sales and account management platform.",OAuth2,Paid/admin approval,Paid/admin approval,REST,Broad,Official,Medium,License + MCP permissions,https://api.docs.dealcloud.com,High,research-pass; audit recommended,Official DealCloud docs: default/custom MCP requires Celeste license and permissions; OAuth on connection.
11,Zendesk,Support/Helpdesk,https://developer.zendesk.com,"Customer support, ticketing, service and helpdesk platform.",OAuth2; API token,Paid/admin approval,Paid/admin approval,REST,Broad,None found,Medium,Verified user/customer context,https://developer.zendesk.com,High,research-pass; audit recommended,Official Zendesk docs: API token or OAuth access token; verified user required.
12,Intercom,Support/Helpdesk,https://developers.intercom.com,"Customer support, ticketing, service and helpdesk platform.",OAuth2; access token,Self-serve with restrictions,Self-serve with restrictions,REST,Broad,None found,High,Public app OAuth vs private workspace token,https://developers.intercom.com,High,research-pass; audit recommended,Official Intercom docs: access token for private apps and OAuth for public apps.
13,Freshdesk,Support/Helpdesk,https://developers.freshdesk.com,"Customer support, ticketing, service and helpdesk platform.",API key; OAuth2,Self-serve trial,Self-serve trial,REST,Broad,None found,High,Account/app setup,https://developers.freshdesk.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
14,Front,Support/Helpdesk,https://dev.frontapp.com,"Customer support, ticketing, service and helpdesk platform.",API token; OAuth2,Self-serve trial,Self-serve trial,REST,Broad,None found,High,Plan/app configuration,https://dev.frontapp.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
15,Pylon,Support/Helpdesk,https://docs.usepylon.com,"Customer support, ticketing, service and helpdesk platform.",Bearer token,Self-serve,Self-serve,REST,Moderate,None found,High,Dashboard token,https://docs.usepylon.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
16,LiveAgent,Support/Helpdesk,https://www.liveagent.com/api,"Customer support, ticketing, service and helpdesk platform.",API token,Self-serve trial,Self-serve trial,REST,Moderate,None found,High,Account access,https://www.liveagent.com/api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
17,Plain,Support/Helpdesk,https://plain.com,"Customer support, ticketing, service and helpdesk platform.",API key; OAuth2,Self-serve,Self-serve,GraphQL,Moderate,None found,High,Workspace credentials,https://plain.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
18,Help Scout,Support/Helpdesk,https://developer.helpscout.com,"Customer support, ticketing, service and helpdesk platform.",OAuth2; API key,Self-serve trial,Self-serve trial,REST,Broad,None found,High,App registration,https://developer.helpscout.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
19,Gorgias,Support/Helpdesk,https://developers.gorgias.com,"Customer support, ticketing, service and helpdesk platform.",API key; OAuth2,Self-serve trial,Self-serve trial,REST,Broad,None found,High,Account/app access,https://developers.gorgias.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
20,Gladly,Support/Helpdesk,https://developer.gladly.com,"Customer support, ticketing, service and helpdesk platform.",OAuth2; API token,Paid/admin approval,Paid/admin approval,REST,Broad,None found,Medium,Enterprise/customer access,https://developer.gladly.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
21,Slack,Communications/Messaging,https://api.slack.com,"Messaging, communications, voice or collaboration platform.",OAuth2; token,Self-serve,Self-serve,REST + Events,Broad,Official/third-party MCP ecosystem,High,Scopes/app installation,https://api.slack.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
